OBJECTID,LABEL,ACRES,GlobalID,SHAPESTArea,SHAPESTLength
17555,N-2-2,0.78176272,{FFF7C833-004A-4A6F-BC0C-5462567452C5},34053.448059082,912.552022571851
17556,N-2-2,4.6239084,{736CFC52-5E5B-43FD-A84F-9A6769C83F77},201416.644042969,2153.25230318566
17557,N-5-1,3.11454993,{0FE02D76-871E-40C7-802D-47C1F31DB05D},135669.252319336,2071.8841027012
17558,N-2-2,2.17215041,{B0E49867-1CCF-4E37-80B7-C66AFCB9E207},94618.4934692383,1669.88389553203
17559,N-2-2,0.87491931,{090B5707-A42C-4180-AFD8-B06670499D34},38111.3325805664,893.18987250405
17560,N-2-2,4.60347077,{DECACD65-83C7-46EA-9BA4-6F1C6DE4BEC9},200526.384643555,2069.26297818979
17561,N-5-1,7.34054016,{CA93353F-C7DE-431D-83D8-0EBB54E7366B},267861.623535156,1988.40223767945
17562,N-2-2,2.59431148,{4E3CAE6C-73FE-4100-AC79-89F693C2D3BD},113007.755981445,1447.48799170284
17563,N-5-1,7.51235785,{E61B142B-0605-4BDA-B5E0-512C2C8E65AF},430670.128540039,5383.40872722448
17564,N-2-2,4.86039359,{25BD8D11-247B-4982-A443-6662C45B92C4},211717.897949219,2127.73792122597
17565,N-2-2,1.50246138,{5B5C5F51-F509-41BA-8EF9-D2B633D8B831},65446.9559326172,1172.6576935142
17566,N-2-2,1.60248378,{33A6B6A7-9101-4190-BD50-6995F2358DCA},69803.9142456055,1289.49293491113
17567,N-5-1,9.68138142,{2DD118A9-FE0A-41C4-8BA7-595F549A3BB1},421719.287536621,3409.83047971631
17568,N-2-2,4.224579,{8285348A-69B8-44F3-BFE2-FE56FC217F48},184021.924987793,1834.19929279147
17569,N-2-2,1.06258387,{CEB843D8-1BD7-4756-8046-D87E0E9645E0},46285.9682006836,921.722082673319
17570,N-2-2,4.84972244,{1654AB79-9CFB-45DC-822C-068401E05A34},211253.06451416,2071.40977538762
17571,N-2-2,1.74089565,{27CBA4F2-016B-4EB8-8E66-671D0DE3BC89},75833.1112670898,1345.96591582485
17572,N-2-2,4.6577196,{90922EDD-515C-4F8B-A95C-67A38DFDBA04},202889.454162598,2045.53281723942
17573,N-2-2,2.28308517,{E8E0A52F-356E-488F-A448-5FBD516B8DFF},99450.7924804688,1937.29417958197
17574,N-2-2,0.35225659,{F28D077B-0A31-4E16-B148-5312C0A0C8E9},15344.2359008789,503.811804083987
17575,N-2-2,2.35436681,{DFB74050-3408-4685-A685-A44D028A9677},102555.808227539,1760.64976268179
17576,N-2-2,3.07433373,{C8F604F2-D5D8-4014-97B3-E8EA01403EEC},133917.44140625,1943.82674834985
17577,N-2-2,0.7226728,{82C258DC-90B4-4AAC-BBAE-A4B0CB4A1007},31479.5013427734,803.72855398658
17578,N-2-2,4.37485436,{6D191918-0EC7-481F-8DAE-91E7C7846A02},190567.893676758,2064.27411778711
17579,N-2-2,3.63818744,{8EC0F110-9D22-4A05-90BC-A1F46B5B3EEF},158478.810791016,1682.26670080441
17580,N-2-2,1.30836886,{B05CF9D1-E0F2-485A-9B25-E3A72E1F03B6},56992.3196411133,1107.79870702924
17581,N-2-2,1.13573187,{E1CDDD9A-6BC3-4D82-8F03-E643F3CA9480},49472.2822875977,1049.91486848469
17582,N-2-2,4.23970859,{3AFB5ECA-C77F-4922-9ACD-6B5E8DDB6AAF},184680.967346191,1714.25631906461
17583,N-2-2,2.88986292,{4E099450-45EA-42AE-8424-DD3BF883F273},125881.925354004,1434.39653647221
17584,N-2-2,1.69025092,{C9D19CFA-6638-47CB-A8B7-8D17772D4073},73627.0357666016,1285.96871606295
